subscriber_key,first_name,email,preference,persistent_value
D_3,Damian,nibh@libero.co.uk,0,16600525-2074
D_4,Neil,Ut.nec@at.co.uk,0,16460908-5974
D_5,Samuel,risus.Nulla.eget@felisadipiscingfringilla.edu,0,16591128-7125
D_6,Emerson,Vestibulum.accumsan@Aenean.edu,1,16700506-7009
D_7,Dillon,ridiculus.mus@adipiscing.net,1,16780617-0952
D_8,Tatum,pede.Praesent@dis.com,0,16280920-1474
D_9,Fritz,In@vitae.edu,0,16451227-9383
D_10,Adara,id.libero.Donec@imperdiet.ca,0,16441029-9830
D_11,Joelle,augue@duiaugueeu.edu,1,16341217-7150
D_12,Yasir,iaculis.quis@sapiengravida.ca,1,16940429-5959
D_13,Ella,dolor@mattisvelitjusto.co.uk,0,16331229-6050
D_14,Otto,ultrices@pharetra.edu,1,16101026-5369
D_15,Hilel,magna.Suspendisse@quis.ca,0,16481110-5792
D_16,Amela,Morbi.accumsan@lectus.co.uk,0,16970623-4375
D_17,Aladdin,elementum@eget.co.uk,0,16141206-5490
D_18,Rylee,diam@Sed.net,1,16250609-7993
D_19,Gage,erat.Etiam.vestibulum@sollicitudinadipiscing.co.uk,1,16700205-0123
D_20,Rebekah,dui@et.net,0,16571012-2259
D_21,Dustin,adipiscing@utodiovel.org,0,16800304-8488
D_22,Timothy,adipiscing.Mauris@Proin.ca,0,16380526-7147
D_23,Wayne,mollis.nec@ornaretortor.net,0,16520414-6673
D_24,Dante,eu@arcu.ca,1,16651006-2364
D_25,Thaddeus,urna@aliquet.net,0,16991028-2103
D_26,Channing,lacinia@lacusQuisque.edu,1,16910630-3556
D_27,Amela,dolor.dapibus@loremvehiculaet.org,0,16510628-8557
D_28,Clinton,dapibus.id.blandit@lacus.com,0,16770716-7677
D_29,Illiana,Aenean@Maurismolestiepharetra.net,1,16900310-1822
D_30,Malik,Sed.id@Duisrisusodio.ca,1,16390725-3961
D_31,Duncan,tellus.sem@velpede.ca,0,16790509-5050
D_32,Norman,amet.massa@convallis.edu,0,16041013-3227
D_33,Callum,ultrices.posuere.cubilia@pellentesque.co.uk,1,16941217-8932
D_34,Channing,lacinia@Cras.net,1,16000414-7070
D_35,Dahlia,ipsum@sed.org,1,16800225-3477
D_36,Neville,tincidunt.aliquam@eratEtiam.com,0,16210322-5609
